enunciado,tema,tipo,nivel,gabarito,fonte
"Qual é a função horária da posição para um objeto em Movimento Uniforme (MU), sendo $s_0$ a posição inicial, $v$ a velocidade e $t$ o tempo?","Movimento Uniforme",dissertativa,muito fácil,"$s(t) = s_0 + v \cdot t$","Fundamentos de Física Vol. 1"
"Um projétil é lançado com uma velocidade inicial $\vec{v_0}$ que forma um ângulo $\theta$ com a horizontal. Desprezando a resistência do ar, qual é a equação da trajetória do projétil?","Movimento Oblíquo",dissertativa,difícil,"$y(x) = (\tan\theta)x - \frac{g}{2v_0^2\cos^2\theta}x^2$","Mecânica Vetorial para Engenheiros"
"Enuncie a Segunda Lei de Newton, também conhecida como Princípio Fundamental da Dinâmica, usando notação vetorial para força resultante ($\vec{F}_{res}$), massa ($m$) e aceleração ($\vec{a}$).","Leis de Newton",dissertativa,fácil,"$\vec{F}_{res} = m \cdot \vec{a}$","Halliday, Resnick & Walker - Fundamentos da Física"
"Qual a fórmula para a força de atrito estático máxima ($F_{ae, max}$) entre uma superfície e um objeto, onde $\mu_e$ é o coeficiente de atrito estático e $N$ é a força normal?","Força de Atrito",dissertativa,médio,"$F_{ae, max} = \mu_e \cdot N$","Física Clássica - Sears & Zemansky"
"Qual é a expressão matemática para a energia cinética ($E_c$) de um corpo de massa $m$ que se move com velocidade de módulo $v$?","Energia Mecânica",dissertativa,fácil,"$E_c = \frac{1}{2}mv^2$","Livro Didático Alfa"
"Qual é a condição de equilíbrio para um ponto material, em termos da soma vetorial das forças $\vec{F_i}$ que atuam sobre ele?","Estática do Ponto",dissertativa,médio,"A soma vetorial de todas as forças deve ser nula: $\sum \vec{F_i} = \vec{0}$","Estática dos Corpos Rígidos"
"De acordo com o Teorema de Stevin, qual é a fórmula para a diferença de pressão ($\Delta p$) entre dois pontos em um fluido em equilíbrio, separados por uma altura vertical $h$? Considere $\rho$ a densidade do fluido e $g$ a aceleração da gravidade.","Teorema de Stevin",dissertativa,médio,"$\Delta p = \rho \cdot g \cdot h$","Mecânica dos Fluidos"
"Enuncie a Terceira Lei de Kepler, relacionando o período de revolução ($T$) e o raio médio da órbita ($R$) de dois planetas (1 e 2) ao redor do Sol.","Leis de Kepler",dissertativa,difícil,"A razão entre o quadrado do período e o cubo do raio médio da órbita é constante para todos os planetas: $\frac{T_1^2}{R_1^3} = \frac{T_2^2}{R_2^3} = k$","Astronomia e Astrofísica"
"Qual é a equação de conversão de uma temperatura na escala Celsius ($T_C$) para a escala Kelvin ($T_K$)?","Escalas Termométricas",dissertativa,muito fácil,"$T_K = T_C + 273.15$","Termologia Essencial"
"Qual é a equação fundamental da calorimetria, que relaciona a quantidade de calor sensível ($Q$), a massa do corpo ($m$), seu calor específico ($c$) e a variação de temperatura ($\Delta T$)?","Calorimetria",dissertativa,fácil,"$Q = m \cdot c \cdot \Delta T$","Química e Física - Atkins"
"A Primeira Lei da Termodinâmica é uma expressão do princípio da conservação de energia. Qual sua forma matemática relacionando a variação da energia interna ($\Delta U$), o calor recebido ($Q$) e o trabalho realizado pelo sistema ($\tau$)?","1ª Lei da Termodinâmica",dissertativa,médio,"$\Delta U = Q - \tau$","Termodinâmica - Çengel & Boles"
"Para um gás ideal, qual é a Equação de Clapeyron, que relaciona pressão ($P$), volume ($V$), número de mols ($n$), a constante universal dos gases ($R$) e a temperatura absoluta ($T$)?","Equação de Clapeyron",dissertativa,médio,"$P \cdot V = n \cdot R \cdot T$","Físico-Química - Levine"
"Qual é a fórmula para a dilatação linear ($\Delta L$) de uma barra de comprimento inicial $L_0$, coeficiente de dilatação linear $\alpha$ e que sofre uma variação de temperatura $\Delta T$?","Dilatação",dissertativa,fácil,"$\Delta L = L_0 \cdot \alpha \cdot \Delta T$","Vestibular Unicamp"
"Em um espelho esférico gaussiano, qual é a Equação de Gauss que relaciona a distância focal ($f$), a distância do objeto ao vértice ($p$) e a distância da imagem ao vértice ($p'$)?","Espelhos Esféricos",dissertativa,médio,"$\frac{1}{f} = \frac{1}{p} + \frac{1}{p'}$","Óptica Geométrica - Tópicos de Física"
"A Lei de Snell-Descartes descreve a refração da luz. Qual sua fórmula, relacionando os índices de refração dos meios ($n_1, n_2$) e os ângulos de incidência ($\theta_1$) e refração ($\theta_2$)?","Leis de Refração",dissertativa,médio,"$n_1 \cdot \sin(\theta_1) = n_2 \cdot \sin(\theta_2)$","Halliday, Resnick & Walker - Fundamentos da Física"
"Qual é a equação da vergência ($V$) de uma lente esférica delgada, em função de sua distância focal ($f$) em metros? Qual a unidade da vergência no SI?","Vergência",dissertativa,fácil,"A equação é $V = \frac{1}{f}$. A unidade é a dioptria ($di$), que equivale a $m^{-1}$.","Vestibular FUVEST"
"Para um oscilador massa-mola ideal, qual a fórmula que determina o período ($T$) do Movimento Harmônico Simples (MHS), em função da massa ($m$) e da constante elástica da mola ($k$)?","Oscilador Massa-Mola",dissertativa,médio,"$T = 2\pi\sqrt{\frac{m}{k}}$","Mecânica Ondulatória"
"Qual é a equação fundamental da ondulatória, que relaciona a velocidade de propagação de uma onda ($v$), sua frequência ($f$) e seu comprimento de onda ($\lambda$)?","Velocidade de Propagação",dissertativa,muito fácil,"$v = \lambda \cdot f$","Física para o Ensino Médio"
"Qual a fórmula da Lei de Coulomb, que calcula a intensidade da força elétrica ($F_e$) entre duas cargas pontuais $Q_1$ e $Q_2$, separadas por uma distância $d$ no vácuo (constante $k_0$)?","Lei de Coulomb",dissertativa,médio,"$F_e = k_0 \frac{|Q_1 \cdot Q_2|}{d^2}$","Eletromagnetismo - Purcell & Morin"
"Qual é a Primeira Lei de Ohm, que relaciona a diferença de potencial ($U$) aplicada a um resistor, sua resistência elétrica ($R$) e a corrente elétrica ($i$) que o atravessa?","Resistência Elétrica",dissertativa,fácil,"$U = R \cdot i$","Circuitos Elétricos - Nilsson & Riedel"
